#{"t_start": 1710951505.438034, "env_id": "HalfCheetah-v4"}
r,l,t
-288.017706,1000,2.767813
-266.320432,1000,3.47215
-281.367674,1000,4.357978
-204.411763,1000,5.168583
-375.948704,1000,5.982882
-136.852914,1000,6.80985
-162.563737,1000,7.567341
-296.96888,1000,8.097885
-128.663917,1000,8.652836
-173.871985,1000,9.214428
-262.587723,1000,50.032943
-244.865657,1000,85.804977
-186.490122,1000,123.080066
-206.095495,1000,160.683333
-150.75847,1000,198.520596
-181.395315,1000,236.296376
-214.806242,1000,273.673575
-213.307958,1000,310.893417
-125.252026,1000,349.763244
-160.740731,1000,389.601229
-130.264212,1000,430.787261
-147.361065,1000,466.258182
-88.611274,1000,502.682078
-598.72671,1000,539.89242
-158.675531,1000,579.395156
240.483931,1000,616.153775
455.847524,1000,653.623955
730.391198,1000,691.429008
243.482773,1000,728.238678
679.029676,1000,764.941906
44.117604,1000,806.788975
409.609706,1000,844.244943
1296.29792,1000,881.221573
1351.744009,1000,916.802897
1679.915248,1000,953.017858
1726.048143,1000,991.124388
1631.556232,1000,1026.978675
2003.289542,1000,1063.225584
2081.180677,1000,1099.489202
2020.50208,1000,1135.663957
