#{"t_start": 1710858599.6580758, "env_id": "HalfCheetah-v4"}
r,l,t
-265.437024,1000,2.002933
-318.055393,1000,2.365805
-187.572838,1000,2.759023
-522.899931,1000,3.126595
-404.963206,1000,3.488234
-237.339476,1000,3.854463
-273.886795,1000,4.215211
-290.080868,1000,4.570714
-418.691999,1000,4.933498
-213.607725,1000,5.294045
-25.680039,1000,9.107102
-552.727576,1000,27.823286
-534.699861,1000,46.591206
-474.513637,1000,66.549821
-632.922624,1000,86.097691
-510.834232,1000,106.795427
-303.455229,1000,126.155639
-199.368791,1000,146.297781
-174.824899,1000,165.6269
-647.202312,1000,186.223589
5.831286,1000,208.596461
-642.093324,1000,229.025865
-269.455761,1000,248.860079
-34.149097,1000,269.178027
301.890386,1000,288.922173
588.732962,1000,309.888474
870.112579,1000,329.749579
686.150122,1000,349.747672
1349.779066,1000,369.668169
110.524004,1000,390.347491
1343.916606,1000,413.931458
1772.526007,1000,433.599047
2079.225461,1000,454.166874
1962.423791,1000,473.900423
2200.941331,1000,494.776553
2221.125561,1000,514.476116
2606.688942,1000,534.931887
1425.165831,1000,554.455592
2646.995323,1000,575.038802
2969.164655,1000,594.630595
316.576364,1000,617.997557
2244.677123,1000,638.535734
2215.607071,1000,657.924118
2704.437357,1000,678.343103
2926.38468,1000,698.989375
2880.397035,1000,720.029664
2860.102617,1000,740.328743
3166.875593,1000,761.223155
1427.019291,1000,781.029106
3543.967402,1000,801.489475
1044.596671,1000,824.7568
3446.27749,1000,844.353264
3075.390165,1000,865.314946
1464.872968,1000,885.265681
3298.018135,1000,906.287659
3308.43818,1000,926.1883
1148.927877,1000,946.822216
3545.25077,1000,966.526829
3896.35915,1000,987.387651
3678.017794,1000,1007.152795
3949.394424,1000,1030.848781
3728.450882,1000,1051.754783
3813.123913,1000,1073.760893
3906.271903,1000,1096.577266
3884.486758,1000,1119.356282
3026.732896,1000,1141.056693
3887.684916,1000,1163.888683
4025.259217,1000,1185.407983
4036.945312,1000,1208.747143
3610.196402,1000,1231.467744
3459.945494,1000,1257.024007
3955.026661,1000,1279.341639
4107.41355,1000,1301.973489
4260.50534,1000,1327.728657
4185.371487,1000,1349.176357
4125.395037,1000,1372.639627
4322.9781,1000,1396.725338
4290.172535,1000,1419.840054
4165.227564,1000,1443.398219
4198.500036,1000,1468.05217
4013.036515,1000,1495.412977
3947.30325,1000,1520.67259
4382.041133,1000,1545.550261
762.006174,1000,1569.586186
4223.624168,1000,1595.089893
4329.269948,1000,1620.555136
4108.872367,1000,1646.094681
4338.674487,1000,1671.840482
4116.342392,1000,1697.544666
4594.649217,1000,1723.378595
4408.027871,1000,1751.886741
4802.389154,1000,1777.812954
4424.614652,1000,1803.72288
4784.509271,1000,1829.784596
4661.593168,1000,1856.260228
5156.783028,1000,1882.334158
4604.631277,1000,1908.192011
5001.775896,1000,1936.260201
4711.289768,1000,1962.283352
4787.413618,1000,1988.480627
4871.567416,1000,2017.438862
5007.741859,1000,2043.687949
4924.267009,1000,2069.874318
5159.22746,1000,2096.304691
4815.635869,1000,2122.952952
4775.152845,1000,2149.291476
4741.167266,1000,2175.825591
5130.120472,1000,2202.194273
5068.033247,1000,2228.748259
5044.083101,1000,2255.328426
5161.558317,1000,2284.464282
4978.943343,1000,2311.022793
5320.898442,1000,2337.725173
5032.426729,1000,2364.776323
5060.194455,1000,2391.507024
4973.059278,1000,2418.659683
4982.71762,1000,2446.546621
5211.229565,1000,2474.126325
5833.357173,1000,2501.415791
5274.847237,1000,2528.082103
4972.943633,1000,2557.426037
5329.756301,1000,2584.29359
5178.768623,1000,2611.176987
5459.158888,1000,2638.058921
5467.643272,1000,2664.662973
5296.642821,1000,2691.408345
5478.653584,1000,2718.287938
5337.666887,1000,2745.252487
5410.107359,1000,2772.259657
5601.810947,1000,2799.270329
2544.006633,1000,2830.240245
3940.838306,1000,2857.092046
5661.898925,1000,2884.124706
5374.744157,1000,2911.183923
5957.300617,1000,2938.346569
5412.803715,1000,2965.569163
5319.262146,1000,2992.653612
5623.35467,1000,3019.68988
5772.173301,1000,3046.951216
5547.276601,1000,3074.169669
5514.224704,1000,3104.005134
5687.729953,1000,3131.663769
5790.937002,1000,3159.509407
5888.373364,1000,3187.155443
5754.284118,1000,3214.919368
5566.812479,1000,3242.594518
5716.452669,1000,3270.419017
5779.724724,1000,3298.33946
5833.694418,1000,3326.359617
5848.112452,1000,3354.092338
5721.521026,1000,3385.782425
5814.583906,1000,3413.754878
5935.982995,1000,3441.776599
5649.341257,1000,3470.147363
5961.91921,1000,3498.47777
5767.671497,1000,3527.874909
6002.04374,1000,3556.589231
5693.480164,1000,3585.262911
5931.112217,1000,3614.285641
6227.617957,1000,3642.463309
6120.021713,1000,3673.812428
5630.353242,1000,3702.210206
5790.604372,1000,3730.285867
5755.384704,1000,3758.538941
6086.887113,1000,3787.19006
5870.206092,1000,3815.724664
6172.767292,1000,3844.519434
5967.680155,1000,3873.236297
5945.26703,1000,3901.550807
5619.819024,1000,3930.111828
