#{"t_start": 1711197313.4878483, "env_id": "Humanoid-v4"}
r,l,t
81.294906,17,2.036167
86.803061,18,2.083453
86.832105,18,2.142199
81.232381,17,2.192358
126.385779,27,2.275396
148.203231,32,2.372379
86.106218,18,2.428015
93.69013,19,2.49084
135.818748,31,2.607034
88.777926,18,2.65983
92.29782,19,2.718601
125.295268,24,2.796945
76.524052,16,2.843717
116.217997,23,2.915834
80.851918,17,2.968771
245.656753,53,3.144273
99.03208,22,3.212303
119.102833,24,3.289298
81.335101,17,3.334752
120.580343,25,3.412066
110.141575,23,3.499854
153.261094,32,3.59575
87.131008,18,3.653923
123.494248,25,3.727539
108.598857,22,3.793612
126.224359,27,3.880328
143.732168,30,3.968532
84.276559,18,4.01527
95.494173,20,4.091247
125.732182,27,4.176277
81.508344,17,4.223999
89.096237,19,4.28218
120.629413,26,4.359265
115.172001,25,4.434815
171.642374,35,4.540331
80.969847,17,4.593777
150.220814,30,4.688806
97.974758,20,4.750972
160.904153,35,4.862663
199.293208,38,4.977282
134.514719,29,5.065333
138.712421,30,5.168362
175.471602,39,5.292633
197.76495,39,5.418212
86.07224,18,5.467984
128.036582,25,5.634907
76.443878,16,5.717145
125.794583,27,5.856925
193.844909,39,6.034893
160.114304,31,6.163251
91.894469,19,6.239799
113.995517,23,6.382614
170.845505,37,6.623207
123.747975,25,6.731439
113.781302,23,6.859686
254.247814,53,7.303138
81.332022,17,7.377192
81.316689,17,7.438362
227.604421,44,7.592789
183.990281,39,7.753891
161.264291,33,7.881073
122.900984,27,7.985635
98.347889,20,8.067037
136.854164,29,8.176785
105.203031,22,8.23473
124.987511,27,8.325571
240.109493,49,8.470304
115.457361,24,8.534811
239.340354,52,8.695555
81.329992,17,8.741689
136.387121,28,8.827938
101.678526,22,8.89018
125.48429,26,8.967446
135.183178,28,9.047293
310.25264,66,9.245246
85.984233,18,9.298111
92.929219,19,9.369149
117.533035,26,9.449987
171.181027,41,9.591453
247.144743,51,9.753513
213.965478,44,9.894846
188.061976,38,10.021852
211.259223,42,10.157049
173.759292,36,10.266214
215.001285,43,10.405132
184.38207,39,10.520442
212.267541,47,10.654869
217.029228,43,10.780524
227.794306,45,10.912671
206.262601,45,11.047983
271.310814,54,11.201082
176.046429,36,11.311608
109.760777,25,11.396868
295.381066,61,11.582116
228.263778,45,11.769953
342.917897,64,12.077025
137.870979,33,12.214034
175.602648,37,12.380407
127.409035,26,12.504035
282.273862,61,12.758996
100.875654,22,12.847392
295.001724,59,13.144968
168.649181,34,13.299265
196.661424,38,13.466154
122.420125,24,13.573682
84.91007,18,13.645589
197.590736,39,13.812854
132.37838,28,13.926348
181.277043,40,14.091922
108.244058,23,14.185848
88.780106,19,14.261911
200.642402,41,14.452466
99.906929,21,14.539918
243.790685,49,14.771482
221.690822,44,14.988121
135.049948,29,15.125541
371.573965,78,15.423376
96.458412,22,15.490374
251.497451,52,15.656944
286.080443,57,15.826682
415.622158,93,16.111562
305.987311,73,16.334029
84.44102,18,16.384821
207.038841,44,16.5199
303.233131,62,16.717506
344.434243,69,16.9598
80.971414,17,17.012273
205.283042,44,17.13348
281.665168,63,17.331678
245.664881,55,17.495079
269.007219,53,17.660249
87.497075,19,17.719859
330.326567,69,17.933939
239.480355,54,18.094352
311.128574,73,18.313837
392.364054,80,18.557777
86.891128,18,18.609128
371.0706,77,18.845424
253.649106,58,19.025823
341.840323,68,19.235971
294.393339,65,19.43784
388.002583,83,19.681783
232.544833,55,19.85813
340.63054,69,20.072093
341.287227,75,20.300155
443.574622,100,20.617744
256.312447,61,20.827743
92.516878,20,20.889673
182.57214,42,21.026186
306.771768,58,21.193707
341.61465,75,21.428288
285.068404,64,21.628124
120.43414,25,21.699527
294.133182,71,21.924461
173.29348,36,22.036738
89.839436,19,22.084486
173.985385,39,22.200668
274.955207,56,22.362446
270.62138,66,22.561692
265.373758,60,22.749003
266.321563,63,22.961027
246.122435,56,23.142398
180.819506,40,23.269268
88.460672,19,23.32568
246.988397,61,23.50983
269.128465,66,23.718032
283.38263,59,23.901994
351.40298,75,24.131107
306.671732,64,24.32709
330.878108,77,24.570717
232.585786,52,24.736993
233.180372,55,24.918017
453.06125,95,25.201164
368.267251,82,25.540197
88.534703,19,25.623584
341.513274,67,25.927594
216.939569,49,26.149338
80.899769,17,26.215361
401.526223,79,26.577198
239.90588,53,26.835145
208.806088,49,27.077105
76.279551,16,27.137477
76.257388,16,27.197313
243.236627,58,27.447171
271.448246,58,27.701352
91.561689,20,27.775785
245.151092,47,27.982206
279.447985,67,28.3211
76.280942,16,28.39528
267.496583,65,28.705928
207.451023,49,28.91795
167.557124,36,29.02822
263.723935,51,29.189167
444.510623,92,29.476248
361.433001,76,29.708148
265.264067,56,29.87404
228.613209,48,30.021307
259.672984,52,30.186803
87.126087,18,30.232834
99.930156,21,30.2903
94.457234,19,30.342454
396.388132,80,30.579978
159.72803,33,30.678681
327.572972,63,30.861382
196.516407,37,30.975391
286.922523,52,31.127798
315.33527,63,31.33104
361.439833,71,31.547132
190.646762,40,31.667353
226.975702,42,31.793128
300.992632,56,31.968605
318.883203,62,32.159242
305.757824,57,32.350524
265.199403,53,32.506253
265.707348,51,32.667781
92.611071,19,32.727748
191.978255,39,32.842219
445.247347,78,33.075027
198.305647,39,33.191855
239.272523,45,33.343432
312.783524,60,33.531668
217.029511,41,33.67268
290.070606,54,33.846882
285.568536,52,34.021266
231.038635,43,34.150896
249.180079,54,34.32476
257.966335,46,34.467233
217.498289,40,34.591904
221.460519,42,34.729364
284.466145,52,34.891221
310.193544,60,35.08756
238.915159,46,35.231308
318.218272,61,35.434813
301.81216,58,35.612687
269.938376,49,35.775284
348.723108,64,35.974737
297.639573,55,36.151812
147.186657,28,36.229722
266.684722,50,36.967656
221.507811,40,37.093842
163.111166,31,37.186743
254.850184,46,37.342858
247.765594,45,37.509774
254.400481,46,37.660269
296.187714,57,37.830994
259.369775,47,37.983823
284.190175,52,38.152602
224.38685,43,38.286255
295.361383,55,38.465286
265.610253,50,38.619642
257.746048,47,38.778331
117.500838,23,38.848105
146.707613,29,38.956219
283.57,55,39.223389
267.068322,49,39.468776
280.791508,53,39.729511
338.70408,63,39.999546
253.740859,48,40.22595
206.420153,43,40.413512
298.357851,54,40.673806
410.205911,77,41.053661
268.458316,52,41.284879
184.683848,35,41.427524
375.970409,71,41.778818
324.345609,59,42.069183
279.227529,51,42.32715
281.780536,52,42.557167
254.993082,47,42.710137
292.268628,55,42.879359
238.087854,45,43.024524
220.409792,41,43.158909
317.863719,57,43.355815
269.450569,50,43.507947
219.431394,42,43.642412
267.529466,50,43.81297
365.345649,81,44.062451
301.483931,60,44.260671
271.760528,49,44.420404
296.472985,54,44.598556
297.165573,54,44.794936
371.280238,72,45.026209
329.819704,63,45.22522
234.165773,44,45.359059
76.318798,16,45.400707
418.030844,79,45.651177
266.745699,49,45.814066
274.828841,50,45.983039
357.680294,70,46.205238
252.351763,47,46.36305
250.426968,46,46.509109
274.354315,52,46.682123
351.077534,68,46.935721
424.010227,80,47.19821
71.400442,15,47.240876
97.023926,20,47.3022
134.064443,28,47.392934
97.051424,20,47.450417
96.267801,20,47.507957
273.237839,55,47.683186
333.477734,62,47.891651
110.858878,23,47.967474
246.543796,45,48.115904
259.314591,49,48.281741
313.898738,59,48.47747
330.18718,66,48.70548
265.207109,49,48.881649
235.999398,44,49.022279
356.856891,71,49.25085
282.67424,53,49.417669
257.393801,48,49.564521
227.591526,51,49.729545
316.498792,58,49.921679
142.380888,29,50.012176
333.144584,62,50.202971
271.168778,50,50.365544
293.853578,54,50.537056
367.431832,69,50.769193
265.960734,50,50.942909
267.279723,49,51.105272
269.682572,51,51.274721
245.091634,47,51.416668
288.38249,53,51.597556
323.181597,66,51.811602
251.668566,47,51.980656
251.222621,47,52.128898
251.544905,47,52.278235
320.733865,60,52.467854
219.830381,42,52.671736
245.267284,47,52.89642
270.44762,49,53.149963
312.859152,60,53.418743
143.474328,29,53.534578
312.487446,69,53.857191
262.716067,48,54.094756
372.281237,76,54.457046
288.985018,55,54.72091
347.717164,66,55.029681
297.149034,69,55.373925
300.147627,59,55.681967
259.856161,48,55.921745
273.466615,54,56.168896
265.909104,51,56.347243
321.331072,59,56.536413
325.188604,64,56.728929
311.76868,58,56.918043
304.093683,56,57.101776
330.60892,66,57.335765
399.294854,79,57.609625
236.750153,45,57.76424
238.019217,47,57.919525
337.528494,65,58.127986
346.089774,67,58.360945
305.245514,59,58.545434
271.369587,52,58.711264
