#{"t_start": 1711009736.249299, "env_id": "Humanoid-v4"}
r,l,t
117.834819,23,1.208574
94.944068,19,1.237384
113.315825,22,1.271601
147.45204,28,1.314782
154.627226,30,1.363851
113.185656,24,1.401101
146.96309,29,1.447204
169.939226,33,1.497765
95.653767,19,1.527285
95.673803,19,1.555013
123.173253,24,1.591173
108.959948,21,1.621994
89.771272,18,1.648041
102.735162,20,1.676552
134.199314,27,1.716637
102.859058,20,1.746218
119.572724,23,1.780024
89.247906,18,1.80473
102.171934,20,1.832986
84.467676,17,1.857113
131.753619,25,1.894229
140.039898,29,1.939459
89.526592,18,2.139957
100.287067,20,2.167733
133.851375,26,2.204396
124.177406,25,2.241606
99.369122,20,2.273132
119.828391,24,2.308068
101.03181,20,2.337507
90.329646,18,2.363428
94.324427,19,2.392362
223.018408,43,2.458481
108.708998,21,2.487995
162.547079,32,2.542151
96.12071,19,2.585867
95.059147,19,2.62939
123.723666,24,2.685465
99.999795,20,2.731467
89.663956,18,2.766297
173.948047,35,2.84833
102.57956,20,2.891911
128.365378,25,2.945834
148.641606,30,3.011619
100.985988,20,3.052433
95.007881,19,3.267789
165.980463,32,3.338418
100.994794,20,3.386291
101.778187,20,3.434962
120.421758,23,3.493676
89.397851,18,3.529193
89.551708,18,3.565662
101.423052,20,3.606335
97.039256,19,3.644511
94.504026,19,3.693748
89.54684,18,3.732509
95.563373,19,3.774948
108.061797,21,3.819352
146.653578,29,3.883032
161.161218,30,3.951175
101.319308,20,3.995102
113.354553,22,4.047032
128.006394,25,4.112082
100.692807,20,4.151592
157.412283,31,4.215108
273.962946,51,4.334043
152.868142,30,4.565158
95.64073,19,4.601745
101.802726,20,4.640298
169.229632,32,4.710222
84.555739,17,4.742781
104.921596,21,4.784925
109.321016,22,4.829514
146.317146,28,4.891677
96.247495,19,4.928187
179.174324,34,5.00113
95.83175,19,5.041723
233.225464,45,5.156018
95.839827,19,5.202524
181.150018,35,5.279272
120.417734,23,5.32582
103.519281,20,5.37434
129.045654,25,5.433504
105.393245,21,5.477716
119.105202,23,5.530226
119.534308,23,5.585593
124.228481,24,5.639122
118.032632,23,5.864497
134.519115,28,5.917846
155.300107,30,5.962321
120.668771,23,5.998884
204.591332,39,6.0564
103.039516,20,6.090645
129.305146,25,6.130162
166.109894,32,6.183346
95.738429,19,6.211734
149.817317,29,6.253097
106.518932,21,6.283852
167.776072,32,6.332236
183.535251,35,6.385005
90.802466,18,6.410533
151.629134,32,6.466203
138.871578,27,6.504245
125.638777,24,6.539983
142.638475,28,6.58076
122.935468,24,6.61792
100.905429,20,6.758304
108.947393,21,6.789696
170.33039,33,6.843021
146.841273,28,6.890119
173.519285,35,6.944133
