#{"t_start": 1711199160.8539505, "env_id": "Humanoid-v4"}
r,l,t
127.253871,26,0.937511
100.809489,20,0.958719
89.220085,18,0.97778
186.695585,36,1.036877
123.812528,24,1.078696
106.723461,21,1.11878
101.394975,20,1.151663
88.543026,18,1.181516
162.694164,35,1.249408
83.173743,17,1.27638
89.337043,18,1.307684
116.870819,23,1.35154
132.30273,28,1.401671
107.741805,21,1.436851
105.665155,21,1.470295
213.461847,43,1.543788
161.762749,33,1.600766
124.583304,25,1.638419
83.256054,17,1.664106
188.500974,36,1.724081
98.178545,20,1.755752
95.615137,19,1.793803
186.378966,41,1.872897
146.141321,28,1.920507
156.256204,32,1.972543
83.077707,17,1.998813
94.581197,19,2.026942
120.351225,24,2.063165
179.81238,36,2.122619
145.125868,28,2.16747
89.340827,18,2.197097
95.820026,19,2.228519
139.34823,28,2.272461
151.709158,30,2.321775
89.713884,18,2.348247
170.176131,34,2.429811
114.44081,22,2.465937
140.223053,27,2.515625
176.214648,35,2.57865
183.586571,36,2.645294
90.306967,18,2.674077
171.421809,34,2.736936
113.013071,22,2.770604
115.331096,23,2.811704
176.054435,34,2.872369
152.09849,32,2.936406
154.689405,31,2.986701
88.881151,18,3.02325
99.174371,20,3.055619
134.926611,27,3.10115
83.458303,17,3.127076
111.96846,22,3.161174
113.293353,22,3.197577
126.29587,25,3.23735
214.377342,43,3.322321
94.438418,19,3.352024
106.08835,21,3.384579
138.858362,27,3.433734
149.75972,29,3.500559
94.78426,19,3.528633
95.685649,19,3.556487
115.979782,23,3.59403
117.222686,23,3.632028
125.772495,26,3.671358
83.403965,17,3.698765
94.330132,19,3.727619
142.003807,27,3.779986
89.715147,18,3.809631
83.359096,17,3.834507
89.519179,18,3.862844
134.270748,27,3.908895
150.63012,32,3.960498
154.579974,30,4.008711
111.078887,22,4.047135
94.377328,19,4.078064
83.605873,17,4.106142
102.420053,20,4.146178
143.480548,29,4.205976
179.016874,35,4.276481
123.525026,24,4.317687
88.342703,18,4.345941
129.760842,25,4.385191
121.268012,24,4.429001
204.4628,40,4.518253
89.843377,18,4.547127
100.28663,20,4.585012
145.818103,29,4.643973
96.945693,19,4.678646
159.306999,31,4.733273
120.762082,24,4.772366
100.127471,20,4.80827
165.497125,33,4.87459
187.218399,36,4.946471
89.227191,18,4.97596
100.755097,20,5.00966
139.391999,27,5.056109
88.531936,18,5.088788
120.392591,24,5.133251
138.18254,27,5.188205
210.59079,42,5.236748
88.582064,18,5.25619
94.916962,19,5.274842
83.464481,17,5.291304
117.426851,23,5.318292
159.908373,32,5.352302
244.136662,50,5.409701
160.302424,32,5.444656
100.987903,20,5.46449
162.636623,36,5.502027
158.210508,31,5.5378
122.2348,24,5.573716
105.146721,21,5.600978
162.673363,31,5.639206
111.798245,22,5.660666
88.464617,18,5.677892
83.659692,17,5.694141
94.680115,19,5.714926
153.051631,30,5.748569
145.89037,29,5.780506
130.81729,25,5.80943
90.004015,18,5.831222
94.524858,19,5.85059
111.436905,22,5.874748
94.81227,19,5.896169
83.231889,17,5.916575
172.401191,34,5.953682
234.798983,47,6.005918
111.821783,22,6.031769
119.023883,23,6.056173
146.184441,29,6.088761
113.587283,23,6.117077
114.3545,23,6.141888
119.165131,24,6.166962
94.749665,19,6.185606
142.592702,28,6.214895
142.131451,28,6.245243
159.577332,32,6.282801
183.4382,36,6.326669
168.417785,33,6.362331
112.51391,22,6.384196
119.718394,24,6.408229
158.945821,31,6.44214
107.489731,21,6.4635
114.290807,23,6.486747
187.985479,39,6.534937
99.9936,20,6.554976
