#{"t_start": 1711032593.713082, "env_id": "Humanoid-v4"}
r,l,t
212.042604,41,1.68184
83.614441,17,1.700343
213.258099,44,1.756649
129.410244,25,1.785064
137.069499,28,1.819435
136.756215,27,1.850554
100.272447,20,1.87229
83.349799,17,1.890748
171.34024,34,1.934019
149.130227,30,1.971329
83.187902,17,1.989503
89.405606,18,2.00915
101.499313,20,2.032469
134.105982,26,2.062213
88.92628,18,2.081507
124.565501,26,2.111294
98.935929,20,2.135655
155.798772,31,2.172656
144.284831,28,2.205902
93.686999,19,2.230217
133.259758,26,2.260381
145.734427,28,2.305266
180.367988,35,2.344795
106.39836,21,2.367059
203.804642,41,2.414217
139.461168,27,2.445063
83.416173,17,2.466621
94.984047,19,2.487467
94.894214,19,2.508883
114.684384,23,2.540219
121.67309,25,2.569246
84.522202,17,2.587658
162.22942,32,2.625232
100.837787,20,2.657165
124.131061,24,2.684473
83.14622,17,2.704628
205.216152,39,2.773737
88.9123,18,2.795706
136.016687,26,2.82786
201.570129,39,2.878546
165.524912,32,2.915724
106.680915,21,2.939394
124.728788,25,2.96969
185.056092,39,3.015487
140.229207,28,3.049522
94.328254,19,3.072113
94.435613,19,3.092513
95.215749,19,3.112821
137.389292,27,3.14981
83.219085,17,3.168005
88.651562,18,3.188037
151.593704,32,3.225802
101.113003,20,3.248873
101.233516,20,3.271174
181.188081,35,3.332198
101.343342,20,3.359127
122.24859,25,3.387668
100.768211,20,3.409769
179.202101,36,3.456801
89.00489,18,3.476831
94.216281,19,3.497977
205.500093,42,3.551607
89.224714,18,3.571005
117.587157,23,3.59805
182.621476,34,3.638893
135.912785,26,3.671892
124.516903,25,3.700737
137.05948,27,3.733304
271.203971,56,3.808375
139.406846,28,3.841006
109.84983,22,3.865418
156.642308,31,3.900335
148.595936,29,3.935022
89.456825,18,3.956236
101.999328,20,3.982163
110.430694,22,4.00694
149.377246,29,4.045341
89.190774,18,4.06468
111.146289,22,4.089381
131.455599,27,4.121358
146.66545,31,4.157797
153.009505,31,4.195236
151.719886,31,4.230567
151.437946,29,4.263274
94.607408,19,4.283614
97.599116,19,4.309402
131.706527,26,4.35064
96.241531,19,4.376422
126.754867,25,4.411998
105.89571,21,4.449371
95.026634,19,4.48389
159.31243,31,4.539868
148.23406,31,4.592889
161.640231,32,4.648046
139.70185,30,4.698004
83.536844,17,4.725185
148.960774,29,4.785188
89.012128,18,4.812163
123.025763,24,4.85512
100.27221,20,4.885124
153.65482,31,4.934405
100.123296,20,4.969737
88.534455,18,4.99943
96.245321,19,5.027904
112.359719,22,5.06221
167.660809,34,5.120289
83.423496,17,5.148332
127.915635,25,5.187788
142.155052,27,5.23329
93.557374,19,5.262368
89.331472,18,5.289719
188.845982,37,5.3534
95.640339,19,5.387012
133.783729,26,5.430219
94.970183,19,5.459808
94.63121,19,5.489781
115.80555,23,5.528587
94.237679,19,5.557733
112.254503,22,5.592651
101.866308,20,5.623555
167.730358,34,5.683452
186.938424,36,5.745884
94.712175,19,5.777314
145.294699,28,5.823228
146.963365,30,5.874851
181.223483,38,5.940652
93.545204,19,5.974166
269.259064,54,6.068794
88.422653,18,6.096142
145.69057,29,6.147924
118.078061,23,6.190942
117.093687,23,6.230335
132.617797,26,6.27408
152.530298,30,6.327804
171.458528,33,6.39247
83.634558,17,6.422059
112.915499,22,6.465241
83.802969,17,6.495096
83.301282,17,6.522281
120.518367,24,6.563961
123.666362,24,6.605599
101.372206,20,6.636158
171.278197,34,6.703688
89.746847,18,6.732548
94.783019,19,6.763161
101.579497,20,6.796937
331.512684,64,6.909672
118.931732,23,6.951291
181.391816,37,7.0148
83.209547,17,7.040493
89.85033,18,7.06877
141.873885,28,7.113718
149.916065,30,7.163434
126.249474,25,7.201912
121.83327,26,7.246776
132.707814,26,7.295897
106.546336,22,7.343431
124.202867,24,7.393096
128.030917,26,7.433614
106.24929,21,7.47176
110.13139,22,7.514802
95.3519,19,7.560438
100.822562,20,7.603225
144.730963,32,7.661403
155.163762,30,7.719161
146.476255,29,7.772069
95.977765,19,7.800972
215.167051,43,7.874592
126.363264,25,7.914318
88.326641,18,7.942136
88.235135,18,7.97616
83.207148,17,8.00587
117.278878,23,8.049019
101.012422,20,8.082925
122.888553,24,8.122075
110.221272,22,8.158052
101.847385,20,8.193826
129.877037,26,8.238796
116.641002,23,8.294441
148.116094,29,8.354924
178.782063,36,8.421721
104.079315,21,8.45661
83.620563,17,8.483792
95.104722,19,8.514543
100.66663,20,8.548981
110.023138,22,8.600197
88.893352,18,8.630547
95.494077,19,8.663512
105.923792,21,8.712027
174.011469,34,8.771337
95.007623,19,8.791815
128.147087,25,8.817943
129.682137,26,8.846978
106.014075,21,8.87006
118.623197,23,8.894128
95.208942,19,8.913854
83.925391,17,8.93204
240.643019,48,8.995028
139.884428,27,9.024037
94.258533,19,9.043483
95.331189,19,9.064437
89.196473,18,9.08274
213.700026,41,9.127573
101.656313,20,9.150666
140.858647,29,9.182804
96.964549,19,9.202253
94.423209,19,9.225151
110.762072,22,9.247912
114.842003,23,9.276513
116.557814,23,9.301029
186.645018,36,9.344323
140.156072,28,9.375257
109.083063,21,9.397477
83.633787,17,9.415159
124.044392,24,9.440386
128.200993,25,9.468421
100.772119,20,9.490278
83.450594,17,9.508714
118.131162,23,9.538496
152.900378,30,9.57483
101.687229,20,9.596465
147.263787,29,9.633793
88.322938,18,9.659584
117.35688,23,9.688108
132.011762,26,9.71814
83.907094,17,9.735961
99.694837,20,9.758389
95.27386,19,9.779506
181.637811,38,9.82655
96.261591,19,9.847815
146.925407,29,9.881634
88.489943,18,9.900503
151.624603,29,9.932971
136.325736,30,9.969746
115.572422,23,9.997064
194.442924,38,10.039929
103.20022,20,10.065024
83.518087,17,10.083092
113.97685,23,10.108154
93.491385,19,10.128744
88.873375,18,10.149365
148.760819,29,10.181118
153.166039,30,10.213994
106.878182,21,10.237334
96.125012,19,10.258891
97.712864,20,10.283743
94.630802,19,10.303792
105.950407,21,10.326201
118.810811,24,10.355457
208.035574,43,10.408866
158.753862,31,10.444714
95.854145,19,10.46534
95.984119,19,10.487157
106.309724,21,10.510547
88.562102,18,10.531824
148.01218,29,10.564882
111.85517,22,10.592792
150.063641,29,10.623794
99.223435,20,10.645528
107.683867,21,10.67806
105.152017,21,10.703785
107.898558,21,10.730342
151.294703,30,10.765006
100.875882,20,10.788559
140.044581,29,10.82117
168.799658,36,10.863365
192.238019,38,10.906991
100.050051,20,10.928201
153.896872,30,10.965554
88.703594,18,10.988691
94.579141,19,11.008706
158.701898,32,11.045474
83.582189,17,11.063483
89.835844,18,11.083498
83.445182,17,11.10188
115.327359,23,11.127493
111.520294,22,11.153528
88.918204,18,11.172171
118.363593,23,11.198323
88.382339,18,11.219632
130.77175,27,11.252101
106.617876,21,11.278087
201.640665,41,11.33073
197.100251,38,11.380738
99.868672,20,11.403449
123.642932,25,11.43236
106.240186,21,11.456509
90.447056,19,11.479161
88.58489,18,11.500412
118.762276,23,11.529158
101.001741,20,11.551336
83.636763,17,11.570339
149.27454,29,11.605834
205.237859,40,11.65122
88.762571,18,11.671387
101.018964,20,11.706342
129.624614,26,11.743689
118.811153,23,11.769935
84.055073,17,11.789091
145.624044,28,11.821774
168.631579,33,11.858855
208.974488,42,11.907421
92.399656,19,11.932809
180.680307,35,11.974447
127.460134,26,12.009594
144.099457,29,12.044158
88.481547,18,12.06396
163.972896,34,12.104747
183.64508,36,12.146926
83.566418,17,12.166025
105.550634,21,12.188811
83.344139,17,12.206928
170.101929,36,12.250088
127.446539,25,12.277754
88.695243,18,12.297056
179.339118,35,12.336733
78.636857,16,12.356219
118.293702,23,12.384419
206.096741,40,12.432537
150.002446,30,12.466224
116.771594,23,12.495426
161.726447,31,12.533264
152.15035,32,12.571381
102.349217,20,12.59534
116.980432,23,12.622483
94.647687,19,12.64307
95.015058,19,12.663694
88.584738,18,12.685644
183.456521,36,12.740627
88.63527,18,12.766029
88.596828,18,12.785146
83.430771,17,12.80222
108.804662,21,12.8254
115.58051,24,12.852809
147.934503,29,12.885376
156.070899,30,12.919741
89.229324,18,12.939795
101.802253,20,12.963766
127.799811,26,12.996498
171.383957,33,13.043025
83.283219,17,13.062369
83.53585,17,13.080783
128.457868,26,13.110701
186.384498,38,13.155765
178.275147,35,13.196322
126.095059,27,13.226787
186.920484,36,13.27078
101.790637,20,13.296798
89.581886,18,13.316267
102.056254,20,13.342042
181.42861,35,13.386372
290.738002,57,13.453864
101.053161,20,13.47631
116.28946,23,13.503769
119.095036,23,13.533005
134.394526,26,13.562016
177.075309,34,13.605787
129.831894,29,13.63944
88.211942,18,13.659407
127.887037,25,13.687322
110.514952,22,13.712353
84.878327,17,13.73027
118.66972,23,13.754841
137.920243,28,13.797604
119.887253,24,13.826798
113.466375,22,13.851626
108.445923,21,13.873611
108.03669,21,13.89728
108.481578,22,13.922177
174.887788,34,13.962097
90.158936,18,13.980705
104.64342,21,14.007889
133.932317,28,14.040238
181.22976,38,14.084301
112.675081,22,14.10879
83.370308,17,14.12656
88.60873,18,14.145859
133.028022,26,14.177766
133.110827,26,14.208087
88.703006,18,14.2265
89.445976,18,14.245446
109.461228,21,14.271192
101.764684,20,14.294333
106.360965,21,14.320857
161.941904,31,14.356612
83.342166,17,14.376827
88.85505,18,14.39633
104.856558,21,14.418956
176.983225,36,14.460138
139.03024,28,14.492867
118.668372,23,14.520175
119.685921,23,14.548653
94.252207,19,14.569637
152.001199,32,14.610373
124.767806,25,14.638298
83.266853,17,14.6569
145.226827,29,14.693151
132.5572,26,14.72269
136.859841,27,14.753776
118.536304,23,14.779283
149.691921,30,14.826207
137.768446,27,14.861625
94.421861,19,14.882817
83.436947,17,14.904697
165.883301,34,16.999573
76.953063,16,17.718865
66.683401,14,18.339206
66.5665,14,19.083483
61.821288,13,19.991836
62.020388,13,20.829655
66.609063,14,22.102448
66.619062,14,23.05525
66.582288,14,23.794833
66.564162,14,24.408445
66.503506,14,25.023509
66.44201,14,25.636054
66.420438,14,26.262402
66.248925,14,26.886949
61.86243,13,27.482293
66.352418,14,28.092462
66.407917,14,28.729971
66.579323,14,29.334239
66.498064,14,29.96019
66.534437,14,30.582226
71.089894,15,31.222891
71.291081,15,31.906857
66.238564,14,32.52994
66.630906,14,33.153239
71.25441,15,34.083637
66.488437,14,34.995673
66.711441,14,35.914451
66.416955,14,36.872912
71.341215,15,37.747363
71.133707,15,38.404205
66.342792,14,39.038164
66.482052,14,39.654738
66.362699,14,40.294514
66.352901,14,40.902731
66.46115,14,41.526693
71.190973,15,42.202142
66.600895,14,42.826608
66.417371,14,43.459387
66.600427,14,44.080869
71.258334,15,44.713385
66.608513,14,45.34038
66.563896,14,45.957388
66.284509,14,46.587699
66.43454,14,47.216791
66.274846,14,48.032832
66.59609,14,48.962195
66.454059,14,49.901067
66.617226,14,50.840057
66.38956,14,51.722365
66.480716,14,52.32813
