#{"t_start": 1711190465.679503, "env_id": "Humanoid-v4"}
r,l,t
151.716293,32,2.046367
116.542123,24,2.135392
76.823366,16,2.192628
87.114962,18,2.263642
98.238962,20,2.335448
98.711131,20,2.418576
98.687769,20,2.496551
86.125796,18,2.563003
182.555153,36,2.699236
76.571531,16,2.757825
131.837274,28,2.883576
81.455223,17,2.927587
113.589065,23,2.99297
86.441924,18,3.039897
136.767357,28,3.124015
129.559811,28,3.193494
81.117535,17,3.234483
87.975072,18,3.277413
81.557399,17,3.318294
117.349078,24,3.375143
81.534527,17,3.415846
92.293008,19,3.461623
82.012879,17,3.506427
87.599026,18,3.549713
81.313876,17,3.590179
86.157645,18,3.635104
102.724506,21,3.690709
94.032257,19,3.734778
86.107964,18,3.775767
81.223019,17,3.819011
92.81976,19,3.865358
76.548581,16,3.909392
99.617744,20,3.962924
81.391675,17,4.003432
81.296567,17,4.043294
104.279335,22,4.102097
133.073819,27,4.167488
87.464085,18,4.209576
81.195228,17,4.2486
106.162628,23,4.303693
81.323872,17,4.34443
81.561281,17,4.385408
98.467694,20,4.433872
87.26017,18,4.479606
82.283127,17,4.518902
76.5275,16,4.560172
126.169124,27,4.622331
120.300123,24,4.679068
76.693148,16,4.715508
106.284387,22,4.767317
81.969329,17,5.68273
96.251157,20,5.729494
141.524418,30,5.80115
144.999643,30,5.876287
86.317061,18,5.916121
88.215613,18,5.960923
91.888391,19,6.012635
149.950839,30,6.083631
81.094511,17,6.122156
157.971121,33,6.199526
99.631094,20,6.248744
93.390415,19,6.292115
91.775676,19,6.336285
240.941487,49,6.453313
153.633121,31,6.524936
142.969894,28,6.590719
82.963202,17,6.628492
165.565316,33,6.70474
110.718105,22,6.755706
98.418246,20,6.801953
132.847564,28,6.873532
117.189268,25,6.933105
86.399176,18,6.972768
125.682436,28,7.050358
101.747735,21,7.099345
81.457721,17,7.138837
86.436266,18,7.178131
76.760828,16,7.215184
106.366447,23,7.270096
128.867394,27,7.333865
81.236998,17,7.374094
81.292287,17,7.413723
92.489953,19,7.457863
103.04097,21,7.507293
141.288663,27,7.56965
114.81835,23,7.620459
136.312918,27,7.683762
100.181867,22,7.735254
81.44433,17,7.773842
190.924571,39,7.86811
72.075439,15,7.902536
92.602872,19,7.94554
81.903289,17,7.9919
86.343808,18,8.046132
126.449428,26,8.106719
136.29837,27,9.007945
81.396762,17,9.047757
93.978807,19,9.108633
97.433308,20,9.158194
76.682524,16,9.194333
102.139922,21,9.244129
81.325793,17,9.295442
127.708663,26,9.354905
203.960561,41,9.453796
135.431121,28,9.520699
129.525532,27,9.591178
155.780751,33,9.669828
189.563838,39,9.762893
81.427106,17,9.804036
81.422411,17,9.845817
80.991327,17,9.885343
214.237549,44,9.989792
87.441545,18,10.031994
108.506117,22,10.082901
76.4055,16,10.129104
123.024762,25,10.187974
168.288877,33,10.265279
159.650925,33,10.345016
138.484161,28,10.411437
107.736543,23,10.465459
154.181597,30,10.534934
87.914315,18,10.577268
282.17871,55,10.705109
86.13463,18,10.752516
120.03212,24,10.809822
123.318379,24,10.869034
111.265634,23,10.922238
89.737406,19,10.966278
243.64094,46,11.076821
124.801668,25,11.147483
87.167371,18,11.188452
168.145561,35,11.269961
130.636071,26,11.330548
141.424193,30,11.401937
92.76011,19,12.26564
98.962027,21,12.315783
223.408282,43,12.421341
87.735783,18,12.462104
182.785096,37,12.551518
84.143229,18,12.593823
130.068869,26,12.658397
103.42284,21,12.707786
171.480441,36,12.795239
116.179402,23,12.853416
99.079914,20,12.908323
81.857191,17,12.971139
325.98147,65,13.239287
162.098045,32,13.355231
96.756538,20,13.424935
164.475417,33,13.542361
225.277181,46,13.697232
211.464186,44,13.86432
86.857451,18,13.925031
171.660337,35,14.043529
128.134828,26,14.142366
86.98484,18,14.204486
92.482552,19,14.272529
134.389726,26,14.368208
96.209374,20,14.444722
245.206131,51,14.627039
196.859366,39,14.76235
81.135039,17,14.824363
175.951975,35,14.948689
115.117626,25,15.031742
126.154325,26,15.1163
86.946349,18,15.179862
136.457996,27,15.276178
128.491555,26,15.382325
76.508182,16,15.44524
97.828801,20,15.518499
81.4504,17,15.576506
170.900264,36,16.895209
118.203075,24,16.952596
143.271015,30,17.023796
148.84057,30,17.098763
71.813628,15,17.13551
331.637462,63,17.28418
139.375645,27,17.362818
163.38285,34,17.446866
180.165527,38,17.552991
110.609082,22,17.605312
87.366866,18,17.647101
169.773373,37,17.736079
140.027952,28,17.804415
190.841604,38,17.900049
232.402773,45,18.010074
169.067187,33,18.085677
97.741208,20,18.129669
195.579413,37,18.216671
124.326549,25,18.277046
136.050933,28,18.342009
86.763899,18,18.38473
81.154692,17,18.42602
108.343158,23,18.481712
85.011689,18,18.534083
226.426346,46,18.641823
216.44199,44,18.748674
86.423019,18,18.790181
158.006289,32,18.866904
216.285733,46,18.994308
202.944964,42,19.769827
252.297601,47,19.893137
120.034643,25,19.958857
81.837978,17,20.002744
157.389314,35,20.921746
145.699343,30,20.99504
215.331906,44,21.102466
