#{"t_start": 1712518890.0446937, "env_id": "MountainCarContinuous-v0"}
r,l,t
82.78036,220,0.845178
64.833029,436,1.340646
80.447607,259,1.623741
83.510683,190,1.827647
78.578767,276,2.140913
90.191185,136,2.314194
87.941508,169,2.482596
86.040586,176,2.672436
91.947609,92,2.782849
78.704183,226,3.025502
69.053789,324,3.628181
91.16651,116,3.75358
79.8763,315,4.160697
72.446225,291,4.482152
78.520833,227,4.724674
88.004013,130,4.865696
87.697948,138,5.028505
86.969343,160,5.202476
91.242941,106,5.303631
87.343381,195,5.526928
84.475056,166,5.71112
81.780104,216,5.949361
74.631835,307,6.275902
92.115237,92,6.385671
92.484343,91,6.650328
91.651325,88,6.760776
77.741282,252,7.071295
89.327538,122,7.213056
92.890076,104,7.340776
80.043247,251,7.665021
91.639111,106,7.805815
89.863994,119,7.96317
89.625067,126,8.133359
91.296126,88,8.227509
93.0153,83,8.323624
88.485029,126,8.46584
75.181562,275,8.758698
89.870483,146,8.922277
88.443686,145,9.086382
83.947249,193,9.322453
93.437156,81,9.408793
81.34485,236,9.838007
85.136912,172,10.069715
91.553987,96,10.163869
87.5538,156,10.352161
81.741625,239,10.631507
92.520651,78,10.720168
89.508781,114,10.837963
88.420578,136,10.975853
93.643145,76,11.071008
87.126128,134,11.229715
66.128693,357,11.672241
86.102915,169,11.874511
91.110573,97,11.978154
78.28168,253,12.310596
84.139419,196,12.5555
85.047447,163,12.92305
91.529372,100,13.043674
92.783152,79,13.159597
86.751622,135,13.307005
82.251981,184,13.543675
91.04289,92,13.654815
82.752425,203,13.874282
91.098843,101,13.987376
91.0,90,14.097152
90.749277,94,14.219155
91.634308,86,14.297287
81.880521,188,14.530075
80.274971,230,14.779147
91.519008,100,14.886746
90.267403,108,14.997981
89.310147,123,15.148537
83.589757,166,15.331711
94.721517,72,15.394211
86.638638,184,15.677631
85.604723,189,16.080712
76.369201,258,16.42806
91.5864,89,16.55825
85.556027,165,16.824241
91.295825,98,16.945387
88.010801,133,17.16731
86.6715,160,17.429479
91.333004,92,17.600014
90.528224,109,17.745679
77.226931,240,18.113446
91.636466,86,18.238307
91.762574,86,18.405521
90.8,92,18.566151
87.516425,146,18.817362
92.701251,85,18.918979
92.504825,85,19.031066
87.632479,137,19.23553
90.256939,103,19.392195
92.254897,80,19.513739
91.734916,86,19.639675
91.80118,83,19.765501
91.963729,82,20.220958
87.834684,144,20.409336
92.647213,76,20.496955
91.379408,92,20.649319
89.359224,115,20.803018
92.262051,79,20.906613
92.44426,79,20.996553
91.807876,85,21.120726
84.858424,157,21.351585
91.3,87,21.491729
91.320873,92,21.630832
89.78078,114,21.771253
88.452842,133,21.948805
90.696668,95,22.059685
91.760202,85,22.17791
87.46111,146,22.366698
91.565806,85,22.488355
91.200542,89,22.627153
85.165999,169,22.837068
91.330443,88,22.958144
90.812388,108,23.105218
88.508378,128,23.30737
91.932791,83,23.481756
91.318509,88,23.644408
91.492206,104,24.048095
90.570826,99,24.240976
91.582223,86,24.396247
92.017085,86,24.577647
91.1,89,24.713227
89.565466,108,24.916054
91.252607,89,25.092566
90.503071,96,25.260808
88.980806,115,25.438704
93.63008,77,25.558391
92.551313,78,25.668776
91.494338,111,25.877889
91.222702,119,26.090471
90.674069,94,26.225968
90.982451,94,26.361347
91.669991,85,26.489449
92.369389,84,26.675988
91.363154,101,26.843614
82.782131,182,27.085601
92.319059,81,27.2118
92.507094,78,27.333174
83.812447,175,27.607819
94.532661,72,27.731377
91.617275,85,27.858412
91.549795,86,27.992044
91.929936,82,28.359679
91.45975,87,28.476306
90.885458,93,28.627011
91.46906,87,28.729373
93.350017,74,28.837613
91.755976,84,28.943643
91.788994,87,29.073833
92.181285,94,29.203623
83.05746,179,29.470466
83.183205,177,29.767389
93.41132,75,29.891148
85.894051,148,30.173845
83.038037,178,30.491297
91.931059,84,30.61833
90.836204,92,30.781658
90.118326,112,30.950752
93.072762,75,31.051915
89.627232,110,31.230727
92.695094,77,31.373643
90.780485,99,31.566603
91.282086,100,31.712553
91.136784,91,31.87031
91.365737,87,32.001492
91.7,83,32.143214
89.868372,103,32.265938
90.549466,96,32.634481
91.773228,84,32.770603
91.924876,83,32.887111
91.023626,91,33.072155
91.552592,86,33.205504
91.639211,85,33.316524
91.287167,89,33.448723
91.436592,86,33.584831
90.835485,98,33.731836
91.762017,84,33.844038
92.612855,82,33.931969
92.223806,80,34.057388
93.000875,84,34.184768
91.702253,86,34.302678
91.564284,85,34.435555
92.986746,72,34.570267
92.1,79,34.702276
91.463903,88,34.819067
85.947377,148,35.015155
85.003866,158,35.232396
91.527472,86,35.367414
91.353779,88,35.527107
92.092045,80,35.679385
